variable
IQ_factor
IQ_score
childinvFriends
childinvMusic
childinvReadTo
pos_childSDQ_score
pos_childSDQPsoc_score
pos_childSDQPeer_score
pos_childSDQHype_score
pos_childSDQEmot_score
pos_childSDQCond_score
worryHome
worryTeacher 
worryFriend
worryMyself
BMI_obese
BMI_overweight
childHealthPerc
childSickDays
difficultiesInterest
difficultiesSit
likeSchool_child_pos
faceGeneral
