variable
IQ_factor
IQ_score
Friends
childinvTalkOut
childinvTalkSchool
pos_childSDQ_score
pos_childSDQPsoc_score
pos_childSDQPeer_score
pos_childSDQHype_score
pos_childSDQEmot_score
pos_childSDQCond_score
pos_SDQ_score
pos_SDQPsoc_score
pos_SDQPeer_score
pos_SDQHype_score
pos_SDQEmot_score
pos_SDQCond_score
LocusControl
pos_Depression_score
BMI_obese
BMI_overweight
childHealthPerc
childSickDays
RiskSuspended
Smoke
Cig
sport
difficultiesInterest
difficultiesSit
dropoutSchool
pos_likeSchool
MigrTaste_cat
Trust
