	(1)	(2)	(3)
VARIABLES	Children	Adolescents	Adults
			
ReggioAsilo	0.094***	-0.059	0.000
	[0.035]	[0.098]	[0.000]
xaReggioPriv	0.260*	-0.153	0.000
	[0.144]	[0.133]	[0.000]
xaReggioNone	0.010	-0.048	0.000
	[0.032]	[0.099]	[0.000]
Constant	8.572*	-68.023*	0.000
	[5.087]	[35.946]	[0.000]
			
Observations	310	295	756
R-squared	0.238	0.139	
Controls	Yes	Yes	Yes
Robust standard errors in brackets			
*** p<0.01, ** p<0.05, * p<0.1			
